m,3m,6m,ytd,y,yy,category
0.41000,1.36000,0.41000,1.36000,4.44000,1.54000,Canadian Fixed Income Balanced
0.32000,0.14000,0.80000,0.14000,2.03000,1.70000,Miscellaneous - Income and Real Property
-1.94000,-0.32000,9.38000,-0.32000,12.57000,3.02000,U.S. Equity
1.58000,3.33000,8.00000,3.33000,20.57000,1.20000,Canadian Equity
1.95000,7.46000,6.70000,7.46000,17.33000,5.69000,Global Equity
-2.21000,-0.06000,15.60000,-0.06000,21.77000,-7.65000,Global Equity
-0.49000,3.78000,11.99000,3.78000,21.50000,7.49000,U.S. Small/Mid Cap Equity
1.22000,2.12000,7.35000,2.12000,16.04000,3.96000,Canadian Focused Equity
1.22000,2.15000,7.37000,2.15000,16.25000,4.07000,Canadian Focused Equity
1.24000,-1.94000,7.01000,-1.94000,16.09000,5.31000,Canadian Focused Small/Mid Cap Equity
1.90000,4.62000,5.02000,4.62000,7.19000,4.23000,Global Equity
0.05000,1.03000,-0.82000,1.03000,4.22000,1.19000,Global Fixed Income Balanced
0.01000,0.02000,0.05000,0.02000,0.08000,0.07000,Canadian Money Market
0.22000,0.69000,-3.02000,0.69000,-0.14000,-0.89000,Canadian Fixed Income
0.55000,0.91000,9.15000,0.91000,15.20000,6.90000,Canadian Dividend & Income Equity
1.17000,4.95000,4.32000,4.95000,12.36000,6.77000,Global Equity
1.22000,5.09000,4.61000,5.09000,12.98000,7.37000,Global Equity
1.53000,5.44000,8.05000,5.44000,15.73000,7.30000,Global Equity
0.30000,0.49000,-5.75000,0.49000,-1.89000,1.75000,Global Fixed Income
0.29000,0.48000,-5.78000,0.48000,-1.94000,1.69000,Global Fixed Income
0.72000,1.64000,2.17000,1.64000,7.21000,0.70000,Canadian Neutral Balanced
0.40000,1.32000,0.32000,1.32000,4.27000,1.38000,Canadian Fixed Income Balanced
0.41000,1.36000,0.40000,1.36000,4.44000,1.54000,Canadian Fixed Income Balanced
0.29000,0.05000,0.64000,0.05000,1.70000,1.37000,Miscellaneous - Income and Real Property
0.33000,0.16000,0.86000,0.16000,2.14000,1.81000,Miscellaneous - Income and Real Property
-1.92000,-0.26000,9.49000,-0.26000,12.82000,3.24000,U.S. Equity
0.78000,2.07000,3.98000,2.07000,10.72000,2.81000,Global Equity Balanced
